pl_hostname,pl_letter,pl_status,pl_rvamp,pl_orbper,pl_orbeccen,pl_orblper,pl_pnum,,,,,,
GJ 317,b,3,75.2,692,0.11,342,2,,,,,,
GJ 328,b,3,40,4100,0.37,290,1,,,,,,
GJ 433,b,3,2.6,7.3697,0.05,310,2,,,,,,
GJ 436,b,3,17.09,2.64388312,0.13827,351,1,,,,,,
GJ 581,b,3,12.6,5.3686,0,,3,,,,,,
GJ 649,b,3,12.4,598.3,0.3,352,1,,,,,,
GJ 667 C,b,3,3.93,7.2004,0.13,5.7,5,,,,,,
HD 85390,b,3,3.8,799.52,0.5,250,1,,,,,,
HD 85512,b,3,0.8,58.43,0.11,,1,,,,,,
HD 86081,b,3,205.53,2.1378431,0.0119,3,1,,,,,,
HD 86226,b,3,15.3,1695,0.15,193,1,,,,,,
HD 86264,b,3,132,1475,0.7,306,1,,,,,,
HD 87883,b,3,34.7,2754,0.53,,1,,,,,,
HD 88133,b,3,32.93,3.414884,0.031,43,1,,,,,,
HD 89307,b,3,28.9,2166,0.2,,1,,,,,,
HD 89744,b,3,269.66,256.78,0.677,193.7,1,,,,,,
HD 90156,b,3,3.69,49.77,0.31,113,1,,,,,,
HD 92788,b,3,108.24,325.803,0.35,-82.17,2,,,,,,
HD 93083,b,3,18.3,143.58,0.14,333.5,1,,,,,,
HD 95089,b,3,25,464.4,0.119,301,2,,,,,,
HD 95127,b,3,116,482,0.11,,1,,,,,,
HD 96063,b,3,29.6,362.5,0.17,271,1,,,,,,
HD 96167,b,3,21.5,498.04,0.685,290.1,1,,,,,,
Kepler-33,b,3,,5.66793,0,,5,,,,,,
HIP 79431,b,3,149.5,111.7,0.29,287.4,1,,,,,,
HIP 91258,b,3,130.9,5.0505,0.02,,1,,,,,,
HIP 97233,b,3,320.1,1058.8,0.61,249.3,1,,,,,,
HIP 105854,b,3,178.1,184.2,0.02,343.2,1,,,,,,
GJ 674,b,3,8.7,4.6938,0.2,143,1,,,,,,
GJ 676 A,b,3,129.3,1056.80005,0.33,,4,,,,,,
GJ 687,b,3,6.4,38.14,0.04,,1,,,,,,
GJ 832,b,3,15.4,3657,0.08,246,2,,,,,,
GJ 849,b,3,22,1882,0.04,,1,,,,,,
GJ 876,b,3,214,61.1166,0.0324,50.3,4,,,,,,
GJ 1214,b,3,12.2,1.58040456,,,1,,,,,,
GJ 3021,b,3,167,133.71,0.511,290.7,1,,,,,,
GJ 3293,b,3,8.603,30.5987,0.06,,4,,,,,,
HD 96127,b,3,104.8,647.29999,0.3,,1,,,,,,
HD 97658,b,3,2.9,9.4909,0.06,,1,,,,,,
HD 98219,b,3,42,433.8,0.079,360,1,,,,,,
HD 98649,b,3,140.1,6022.9725,0.86,252.61,1,,,,,,
HD 99109,b,3,14.1,439.29999,0.09,,1,,,,,,
HD 99492,b,3,9.8,17.0431,0.25,,1,,,,,,
HD 99706,b,3,21.2,841,0.25,50,2,,,,,,
HD 100655,b,3,35.2,157.57001,0.09,,1,,,,,,
HD 100777,b,3,34.9,383.70001,0.36,,1,,,,,,
HD 101930,b,3,18.1,70.46,0.11,,1,,,,,,
HD 102117,b,3,12,20.8133,0.12,,1,,,,,,
HD 102195,b,3,63,4.11377,0,,1,,,,,,
HD 102272,b,3,155.5,127.58,0.05,,1,,,,,,
HD 102365,b,3,2.3,122.1,0.34,105,1,,,,,,
HD 102329,b,3,84.8,778.09998,0.21,,2,,,,,,
HD 102956,b,3,74.6,6.4947,0.037,301,1,,,,,,
HIP 116454,b,3,4.4,9.1205,0.2,,1,,,,,,
HR 810,b,3,57.1,302.79999,0.14,,1,,,,,,
K2-3,b,3,,10.05449,,,3,,,,,,
KELT-1,b,3,,1.217514,0.0099,61,1,,,,,,
KELT-2 A,b,3,161.1,4.11379,0,,1,,,,,,
KELT-3,b,3,179.6,2.70339,0,,1,,,,,,
KELT-6,b,3,42.8,7.8457,0.22,,2,,,,,,
